CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen
DEFENSA,"1524",1524 DEFENSA,-58.3709946,-34.6256588,"1",SAN TELMO,"22",V,"53",I,,,,,,,,
BARTOLOME MITRE,"906","906 MITRE, BARTOLOME",-58.3796587,-34.6072156,"1",SAN NICOLAS,"105",V,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"51",51 REGIMIENTO DE PATRICIOS AV.,-58.3706639,-34.6302258,"4",BARRACAS,"93",I,"70",V,"74",I,,,,,,
REGIMIENTO DE PATRICIOS AV.,"389",389 REGIMIENTO DE PATRICIOS AV.,-58.3703604,-34.6334097,"4",BARRACAS,"10",I,"22",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"435",435 REGIMIENTO DE PATRICIOS AV.,-58.3702771,-34.6340118,"4",BARRACAS,"24",i,"46",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"471",471 REGIMIENTO DE PATRICIOS AV.,-58.3702328,-34.6342993,"4",BARRACAS,"39",V,"93",I,,,,,,,,
BARTOLOME MITRE,"1464","1464 MITRE, BARTOLOME",-58.38715257,-34.60775698,"1",SAN NICOLAS,"105",V,"98",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"673",673 REGIMIENTO DE PATRICIOS AV.,-58.3699335,-34.6361996,"4",BARRACAS,"70",V,"74",I,,,,,,,,
BARTOLOME MITRE,"1444","1444 MITRE, BARTOLOME",-58.38690677,-34.60774163,"1",SAN NICOLAS,"5",I,"7",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"717",717 REGIMIENTO DE PATRICIOS AV.,-58.3698545,-34.6367229,"4",BARRACAS,"39",V,"93",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"761",761 REGIMIENTO DE PATRICIOS AV.,-58.3698136,-34.6369873,"4",BARRACAS,"10",I,"24",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"787",787 REGIMIENTO DE PATRICIOS AV.,-58.3697851,-34.637171,"4",BARRACAS,"22",I,"46",V,,,,,,,,
BARTOLOME MITRE,"1608","1608 MITRE, BARTOLOME",-58.3894206,-34.60790029,"1",SAN NICOLAS,"5",I,"7",V,,,,,,,,
BARTOLOME MITRE,"1682","1682 MITRE, BARTOLOME",-58.39033209,-34.60794204,"1",SAN NICOLAS,"98",I,"105",V,,,,,,,,
RIVADAVIA AV.,"1581",1581 RIVADAVIA AV.,-58.3887206,-34.6089946,"1",SAN NICOLAS,"60",I,,,,,,,,,,
RIVADAVIA AV.,"1635",1635 RIVADAVIA AV.,-58.3895865,-34.6090372,"1",SAN NICOLAS,"90",I,,,,,,,,,,
RIVADAVIA AV.,"1655",1655 RIVADAVIA AV.,-58.3898883,-34.6090641,"1",SAN NICOLAS,"98",V,"151",I,"105",,,,,,,
RIVADAVIA AV.,"1665",1665 RIVADAVIA AV.,-58.3900789,-34.6090775,"1",SAN NICOLAS,"8",I,"86",I,,,,,,,,
RIVADAVIA AV.,"1719",1719 RIVADAVIA AV.,-58.3909525,-34.6091327,"1",SAN NICOLAS,"56",I,"64",I,,,,,,,,
RIVADAVIA AV.,"1775",1775 RIVADAVIA AV.,-58.3915424,-34.6091742,"1",SAN NICOLAS,"5",V,"7",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1125",1125 REGIMIENTO DE PATRICIOS AV.,-58.3692334,-34.6407253,"4",BARRACAS,"24",I,"70",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1151",1151 REGIMIENTO DE PATRICIOS AV.,-58.3692168,-34.6408335,"4",BARRACAS,"10",I,"74",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1175",1175 REGIMIENTO DE PATRICIOS AV.,-58.3692015,-34.6409333,"4",BARRACAS,"39",V,"93",I,,,,,,,,
CALLAO AV.,"131",131 CALLAO AVE,-58.3919606,-34.6075947,"1",SAN NICOLAS,"12",I,,,,,,,,,,
CALLAO AV.,"157",157 CALLAO AV.,-58.3919813,-34.6073075,"1",SAN NICOLAS,"37",V,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1353",1353 REGIMIENTO DE PATRICIOS AV.,-58.3689501,-34.6426194,"4",BARRACAS,"33",I,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1439",1439 REGIMIENTO DE PATRICIOS AV.,-58.3688552,-34.6432637,"4",BARRACAS,"24",I,"70",V,,,,,,,,
CALLAO AV.,"323",323 CALLAO AV.,-58.3921162,-34.6053942,"1",SAN NICOLAS,"60",I,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1471",1471 REGIMIENTO DE PATRICIOS AV.,-58.3688177,-34.6435163,"4",BARRACAS,"10",I,"74",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1487",1487 REGIMIENTO DE PATRICIOS AV.,-58.3687967,-34.6436638,"4",BARRACAS,"39",V,"93",I,,,,,,,,
CALLAO AV.,"339",339 CALLAO AV.,-58.3921326,-34.6051805,"1",SAN NICOLAS,"150",V,,,,,,,,,,
CALLAO AV.,"353",353 CALLAO AV.,-58.3921513,-34.6049376,"1",SAN NICOLAS,"50",V,,,,,,,,,,
CALLAO AV.,"377",377 CALLAO AV.,-58.3921708,-34.6046837,"1",SAN NICOLAS,"6",V,,,,,,,,,,
CALLAO AV.,"445",445 CALLAO AV.,-58.3922218,-34.6040758,"1",BARRACAS,"12",I,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1569",1569 REGIMIENTO DE PATRICIOS AV.,-58.3686912,-34.6443683,"4",SAN NICOLAS,"20",I,,,,,,,,,,
CALLAO AV.,"473",473 CALLAO AV.,-58.392256,-34.6036411,"1",SAN NICOLAS,"37",V,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1747",1747 REGIMIENTO DE PATRICIOS AV.,-58.368446,-34.6460503,"4",BARRACAS,"33",I,"70",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1825",1825 REGIMIENTO DE PATRICIOS AV.,-58.3683417,-34.6467662,"4",BARRACAS,"10",I,"24",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1845",1845 REGIMIENTO DE PATRICIOS AV.,-58.3682974,-34.6470634,"4",BARRACAS,"39",V,"93",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1857",1857 REGIMIENTO DE PATRICIOS AV.,-58.3682902,-34.6471116,"4",BARRACAS,"20",I,"74",I,,,,,,,,
CALLAO AV.,"717",717 CALLAO AV.,-58.3927025,-34.6005557,"1",SAN NICOLAS,"37",V,,,,,,,,,,
CALLAO AV.,"745",745 CALLAO AV.,-58.392732,-34.6003471,"1",SAN NICOLAS,"150",V,,,,,,,,,,
CALLAO AV.,"769",769 CALLAO AV.,-58.3927496,-34.6002225,"1",SAN NICOLAS,"124",V,,,,,,,,,,
CALLAO AV.,"777",777 CALLAO AV.,-58.3927794,-34.6000115,"1",SAN NICOLAS,"12",I,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1880",1880 REGIMIENTO DE PATRICIOS AV.,-58.3680575,-34.6476058,"4",LA BOCA,"39",I,"93",V,,,,,,,,
CORDOBA AV.,"1749",1749 CORDOBA AV.,-58.3921475,-34.5995123,"2",RECOLETA,"132",V,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1560",1560 REGIMIENTO DE PATRICIOS AV.,-58.3685247,-34.6444316,"4",LA BOCA,"39",I,"93",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1516",1516 REGIMIENTO DE PATRICIOS AV.,-58.3685811,-34.6440705,"4",LA BOCA,"33",V,"74",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1510",1510 REGIMIENTO DE PATRICIOS AV.,-58.3685911,-34.6440004,"4",LA BOCA,"24",V,"70",I,,,,,,,,
CORDOBA AV.,"1565",1565 CORDOBA AVE,-58.3891283,-34.5993257,"2",RECOLETA,"29",I,"140",I,,,,,,,,
CORDOBA AV.,"1521",1521 CORDOBA AV.,-58.3885385,-34.5992928,"2",RECOLETA,"132",V,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1170",1170 REGIMIENTO DE PATRICIOS AV.,-58.3690724,-34.6407619,"4",LA BOCA,"24",V,"70",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1168",1168 REGIMIENTO DE PATRICIOS AV.,-58.369078,-34.640742,"4",LA BOCA,"33",V,"39",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1130",1130 REGIMIENTO DE PATRICIOS AV.,-58.369121,-34.6404457,"4",LA BOCA,"74",V,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1110",1110 REGIMIENTO DE PATRICIOS AV.,-58.3691473,-34.6402749,"4",LA BOCA,"10",V,"93",V,,,,,,,,
CORDOBA AV.,"1419",1419 CORDOBA AV.,-58.387335,-34.599232,"2",RECOLETA,"99",V,"109",V,"75",I,,,,,,
BRANDSEN,"1195",1195 BRANDSEN,-58.3695499,-34.6373154,"4",LA BOCA,"25",I,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"716",716 REGIMIENTO DE PATRICIOS AV.,-58.369694,-34.6367324,"4",LA BOCA,"22",V,"46",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"696",696 REGIMIENTO DE PATRICIOS AV.,-58.3697558,-34.6363464,"4",LA BOCA,"10",V,"70",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"660",660 REGIMIENTO DE PATRICIOS AV.,-58.3697868,-34.6361463,"4",LA BOCA,"74",V,"93",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"620",620 REGIMIENTO DE PATRICIOS AV.,-58.3698437,-34.6357791,"4",LA BOCA,"24",V,"39",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"362",362 REGIMIENTO DE PATRICIOS AV.,-58.3702192,-34.6332533,"4",LA BOCA,"10",V,"70",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"376",376 REGIMIENTO DE PATRICIOS AV.,-58.3702377,-34.6331008,"4",LA BOCA,"39",I,"93",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"322",322 REGIMIENTO DE PATRICIOS AV.,-58.3702563,-34.6329536,"4",LA BOCA,"24",V,"74",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"314",314 REGIMIENTO DE PATRICIOS AV.,-58.3702581,-34.6329363,"4",LA BOCA,"22",V,"46",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"72",72 REGIMIENTO DE PATRICIOS AV.,-58.3705018,-34.6303429,"4",LA BOCA,"39",I,"93",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"52",52 REGIMIENTO DE PATRICIOS AV.,-58.3705232,-34.6300972,"4",LA BOCA,"10",V,"24",,"70",I,,,,,,
REGIMIENTO DE PATRICIOS AV.,"38",38 REGIMIENTO DE PATRICIOS AV.,-58.3705361,-34.629949,"4",LA BOCA,"22",V,"46",I,"74",,,,,,,
SANTIAGO DEL ESTERO,"1997",1997 SANTIAGO DEL ESTERO,-58.3841698,-34.630814,"1",CONSTITUCION,"134",V,,,,,,,,,,
SANTIAGO DEL ESTERO,"1897",1897 SANTIAGO DEL ESTERO,-58.3842547,-34.6297431,"1",CONSTITUCION,"65",I,"95",I,,,,,,,,
SANTIAGO DEL ESTERO,"1699",1699 SANTIAGO DEL ESTERO,-58.3843888,-34.6280066,"1",CONSTITUCION,"65",I,"95",I,,,,,,,,
SANTIAGO DEL ESTERO,"1591",1591 SANTIAGO DEL ESTERO,-58.3844005,-34.626803,"1",CONSTITUCION,"60",V,,,,,,,,,,
SANTIAGO DEL ESTERO,"1185",1185 SANTIAGO DEL ESTERO,-58.3844242,-34.6219832,"1",CONSTITUCION,"60",V,,,,,,,,,,
SANTIAGO DEL ESTERO,"1177",1177 SANTIAGO DEL ESTERO,-58.3844203,-34.6218892,"1",CONSTITUCION,"96",V,,,,,,,,,,
CORDOBA AV.,"1249",1249 CORDOBA AV.,-58.3847317,-34.5991089,"1",RETIRO,"140",I,,,,,,,,,,
CORDOBA AV.,"1239",1239 CORDOBA AV.,-58.3846233,-34.5991038,"1",RETIRO,"132",V,,,,,,,,,,
CORDOBA AV.,"1171",1171 CORDOBA AV.,-58.3837359,-34.5990626,"1",RETIRO,"5",V,"26",I,,,,,,,,
SANTIAGO DEL ESTERO,"781",781 SANTIAGO DEL ESTERO,-58.3843688,-34.6176061,"1",MONSERRAT,"60",V,,,,,,,,,,
CORDOBA AV.,"1147",1147 CORDOBA AV.,-58.3832169,-34.5990385,"1",RETIRO,"109",V,,,,,,,,,,
CABILDO AV.,"5000",5000 CABILDO AV.,-58.4760074,-34.5391323,"12",SAAVEDRA,"19",V,"130",V,,,,,,,,
CABILDO AV.,"5070",5070 CABILDO AV.,-58.4760952,-34.5389417,"12",SAAVEDRA,"59",V,"71",,"151",,"152",V,,,,
CORDOBA AV.,"975",975 CORDOBA AV.,-58.3807914,-34.5989289,"1",RETIRO,"140",I,,,,,,,,,,
CABILDO AV.,"5000",5000 CABILDO AVE,-58.4758293,-34.5390321,"12",SAAVEDRA,"59",V,"184",V,,,,,,,,
CORDOBA AV.,"953",953 CORDOBA AV.,-58.380554,-34.5989198,"1",RETIRO,"115",I,,,,,,,,,,
SANTIAGO DEL ESTERO,"377",377 SANTIAGO DEL ESTERO,-58.3847184,-34.6130914,"1",MONSERRAT,"60",V,,,,,,,,,,
CORDOBA AV.,"937",937 CORDOBA AV.,-58.3803951,-34.5989137,"1",RETIRO,"109",V,"99",V,,,,,,,,
CORDOBA AV.,"923",923 CORDOBA AV.,-58.3800055,-34.5988988,"1",RETIRO,"132",V,,,,,,,,,,
SANTIAGO DEL ESTERO,"345",SANTIAGO DEL ESTERO 345,-58.3847569,-34.6126928,"1",MONSERRAT,"98",I,,,,,,,,,,
CABILDO AV.,"4994",4994 CABILDO AV.,-58.4753583,-34.5397638,"12",SAAVEDRA,"68",V,"133",V,,,,,,,,
CORDOBA AV.,"883",883 CORDOBA AV.,-58.3795494,-34.5988796,"1",RETIRO,"5",V,,,,,,,,,,
CORDOBA AV.,"827",827 CORDOBA AV.,-58.3787266,-34.5988444,"1",RETIRO,"26",I,,,,,,,,,,
SANTIAGO DEL ESTERO,"177",177 SANTIAGO DEL ESTERO,-58.3848583,-34.6108276,"1",MONSERRAT,"60",V,"98",I,,,,,,,,
CORDOBA AV.,"729",729 CORDOBA AV.,-58.377383,-34.5987619,"1",RETIRO,"9",I,"45",I,,,,,,,,
CORDOBA AV.,"657",657 CORDOBA AV.,-58.3761272,-34.5986727,"1",RETIRO,"115",I,,,,,,,,,,
CORDOBA AV.,"637",637 CORDOBA AV.,-58.3758765,-34.5986551,"1",RETIRO,"132",V,,,,,,,,,,
CABILDO AV.,"4995",4995 CABILDO AV.,-58.4752184,-34.5396533,"12",SAAVEDRA,"21",I,"60",I,"168",,,,,,,
CORDOBA AV.,"545",545 CORDOBA AV.,-58.3749277,-34.5986154,"1",RETIRO,"140",I,,,,,,,,,,
CABILDO AV.,"4995",4995 CABILDO AV.,-58.4753779,-34.5394398,"12",SAAVEDRA,"19",I,"71",,"161",,,,,,,
CORDOBA AV.,"547",547 CORDOBA AV.,-58.3750693,-34.5986253,"1",RETIRO,"99",V,"109",V,,,,,,,,
CABILDO AV.,"4999",4999 CABILDO AVE,-58.4756879,-34.5389588,"13",NUÑE,"59",I,"184",I,,,,,,,,
CORDOBA AV.,"461",461 CORDOBA AVE,-58.3736505,-34.5985002,"1",RETIRO,"45",I,,,,,,,,,,
CABILDO AV.,"5091",5000 CABILDO AVE,-58.47584,-34.5387075,"13",NUÑE,"130",I,"152",I,,,,,,,,
CORDOBA AV.,"461",461 CORDOBA AVE,-58.3735169,-34.5984901,"1",RETIRO,"9",I,,,,,,,,,,
CORDOBA AV.,"433",433 CORDOBA AV.,-58.3733707,-34.5984753,"1",RETIRO,"26",I,,,,,,,,,,
CORDOBA AV.,"421",421 CORDOBA AV.,-58.3730987,-34.5984547,"1",RETIRO,"5",V,,,,,,,,,,
SALTA,"326",326 SALTA,-58.3832571,-34.6123174,"1",MONSERRAT,"98",,,,,,,,,,,
CABILDO AV.,"4760",4760 CABILDO AV.,-58.474261,-34.5410238,"12",SAAVEDRA,"133",V,"184",V,,,,,,,,
CABILDO AV.,"4660",4660 CABILDO AV.,-58.4736736,-34.5417732,"12",SAAVEDRA,"68",V,"152",V,,,,,,,,
SALTA,"544",544 SALTA,-58.3830397,-34.6148069,"1",MONSERRAT,"98",V,"2",I,,,,,,,,
SALTA,"728",728 SALTA,-58.3829976,-34.6170904,"1",MONSERRAT,"98",V,"2",I,,,,,,,,
SALTA,"930",930 SALTA,-58.382929,-34.6189322,"1",CONSTITUCION,"96",I,"98",V,,,,,,,,
CABILDO AV.,"4360",4360 CABILDO AV.,-58.4719393,-34.5441514,"12",SAAVEDRA,"133",V,"184",V,,,,,,,,
VIAMONTE,"610",610 VIAMONTE,-58.3755665,-34.5999174,"1",SAN NICOLAS,"23",I,,,,,,,,,,
VIAMONTE,"410",410 VIAMONTE,-58.3730289,-34.5997515,"1",SAN NICOLAS,"23",I,"99",I,,,,,,,,
VIAMONTE,"910",910 VIAMONTE,-58.3798005,-34.6001768,"1",SAN NICOLAS,"23",I,,,,,,,,,,
VIAMONTE,"920",920 VIAMONTE,-58.37993,-34.6001799,"1",SAN NICOLAS,"99",,,,,,,,,,,
SALTA,"1110",1110 SALTA,-58.382925,-34.6211559,"1",CONSTITUCION,"96",I,"98",V,,,,,,,,
CABILDO AV.,"4189",4189 CABILDO AV.,-58.4707748,-34.545462,"13",NUÑE,"168",I,"184",I,,,,,,,,
SALTA,"1340",1340 SALTA,-58.3828959,-34.6240683,"1",CONSTITUCION,"96",I,,,,,,,,,,
SALTA,"1356",1356 SALTA,-58.3828906,-34.6242048,"1",CONSTITUCION,"39",I,"98",V,,,,,,,,
SALTA,"1392",1392 SALTA,-58.3828782,-34.6245289,"1",CONSTITUCION,"60",I,,,,,,,,,,
CABILDO AV.,"3850",3850 CABILDO AV.,-58.4692464,-34.5478402,"12",SAAVEDRA,"68",,"133",V,"152",V,,,,,,
SALTA,"1636",1636 SALTA,-58.3827831,-34.6273959,"1",CONSTITUCION,"79",I,,,,,,,,,,
CABILDO AV.,"3723",3723 CABILDO AV.,-58.4681995,-34.5487015,"13",NUÑE,"57",I,"194",I,,,,,,,,
CABILDO AV.,"3554",3554 CABILDO AV.,-58.4671615,-34.5504579,"13",NUÑE,"133",V,"184",V,,,,,,,,
CABILDO AV.,"3514",3514 CABILDO AV.,-58.46694,-34.55073,"13",NUÑE,"161",V,"168",V,,,,,,,,
SALTA,"2026",2032 SALTA,-58.382602,-34.631053,"1",CONSTITUCION,"65",V,"91",V,,,,,,,,
CABILDO AV.,"3470",3470 CABILDO AV.,-58.4666036,-34.55115,"13",NUÑE,"68",V,"152",V,,,,,,,,
CABILDO AV.,"3432",3432 CABILDO AV.,-58.4663039,-34.55153,"13",NUÑE,"59",V,"60",V,,,,,,,,
CABILDO AV.,"3070",3070 CABILDO AV.,-58.4643811,-34.55387,"13",NUÑE,"29",V,"57",V,"194",,,,,,,
CABILDO AV.,"3030",3030 CABILDO AV.,-58.463957,-34.55429,"13",NUÑE,"133",V,"168",V,"184",V,,,,,,
TUCUMAN,"987",987 TUCUMAN,-58.3807415,-34.6012592,"1",SAN NICOLAS,"6",I,"23",V,,,,,,,,
CABILDO AV.,"2978",2978 CABILDO AV.,-58.4633255,-34.55493,"13",NUÑE,"68",,"152",V,"161",V,,,,,,
TUCUMAN,"929",929 TUCUMAN,-58.38003,-34.6012699,"1",SAN NICOLAS,"180",I,,,,,,,,,,
CABILDO AV.,"2940",2940 CABILDO AV.,-58.4629759,-34.55527,"13",NUÑE,"59",V,"60",V,,,,,,,,
CABILDO AV.,"2995",2995 CABILDO AV.,-58.4631187,-34.55467,"13",NUÑE,"29",I,"60",I,,,,,,,,
CORRIENTES AV.,"410",410 CORRIENTES AVE,-58.372574,-34.6032384,"1",SAN NICOLAS,"140",V,"146",V,"180",V,,,,,,
CORRIENTES AV.,"420",420 CORRIENTES AVE,-58.3727072,-34.6032465,"1",SAN NICOLAS,"6",,"26",V,"50",V,,,,,,
CORRIENTES AV.,"564",564 CORRIENTES AV.,-58.3745841,-34.6033592,"1",SAN NICOLAS,"109",I,"115",V,,,,,,,,
CORRIENTES AV.,"602",602 CORRIENTES AV.,-58.3754239,-34.60341,"1",SAN NICOLAS,"6",V,"50",V,,,,,,,,
CORRIENTES AV.,"640",640 CORRIENTES AV.,-58.3758205,-34.6034343,"1",SAN NICOLAS,"26",V,"140",V,,,,,,,,
CORRIENTES AV.,"654",654 CORRIENTES AV.,-58.3760364,-34.6034476,"1",SAN NICOLAS,"146",V,"180",V,,,,,,,,
CORRIENTES AV.,"834",834 CORRIENTES AV.,-58.3785963,-34.6036074,"1",SAN NICOLAS,"109",I,"115",V,,,,,,,,
CORRIENTES AV.,"924",924 CORRIENTES AVE,-58.3798148,-34.6036812,"1",SAN NICOLAS,"50",V,"146",V,,,,,,,,
CORRIENTES AV.,"930",930 CORRIENTES AVE,-58.3799014,-34.6036865,"1",SAN NICOLAS,"6",V,"180",V,,,,,,,,
CORRIENTES AV.,"938",938 CORRIENTES AV.,-58.3799915,-34.6036891,"1",SAN NICOLAS,"26",V,"140",V,,,,,,,,
CORRIENTES AV.,"1160",1160 CORRIENTES AV.,-58.3828745,-34.6038606,"1",SAN NICOLAS,"24",I,"26",V,,,,,,,,
CORRIENTES AV.,"1160",1160 CORRIENTES AV.,-58.3834113,-34.6038921,"1",SAN NICOLAS,"146",V,"180",V,,,,,,,,
CORRIENTES AV.,"1220",1220 CORRIENTES AV.,-58.3840166,-34.603928,"1",SAN NICOLAS,"6",V,"50",V,,,,,,,,
CORRIENTES AV.,"1250",1250 CORRIENTES AV.,-58.3843422,-34.6039471,"1",SAN NICOLAS,"29",V,"111",V,,,,,,,,
CORRIENTES AV.,"1302",1302 CORRIENTES AV.,-58.3852351,-34.6039983,"1",SAN NICOLAS,"109",I,"140",V,,,,,,,,
CORRIENTES AV.,"1430",1430 CORRIENTES AV.,-58.3870651,-34.6041156,"1",SAN NICOLAS,"146",V,"180",V,,,,,,,,
CORRIENTES AV.,"1444",1444 CORRIENTES AV.,-58.387185,-34.6041251,"1",SAN NICOLAS,"24",V,"26",V,,,,,,,,
CORRIENTES AV.,"1514",1514 CORRIENTES AV.,-58.3881532,-34.6042041,"1",SAN NICOLAS,"6",V,"50",V,,,,,,,,
SARMIENTO,"1767",1767 SARMIENTO,-58.3918803,-34.6055836,"1",SAN NICOLAS,"146",I,,,,,,,,,,
SARMIENTO,"1481",1481 SARMIENTO,-58.3875462,-34.6053068,"1",SAN NICOLAS,"146",I,,,,,,,,,,
SARMIENTO,"1183",1183 SARMIENTO,-58.3833973,-34.6050565,"1",SAN NICOLAS,"29",I,"50",I,,,,,,,,
SARMIENTO,"1169",1169 SARMIENTO,-58.3831425,-34.6050419,"1",SAN NICOLAS,"146",I,,,,,,,,,,
JUAN DE GARAY AV.,"3095","3095 GARAY, JUAN DE AV.",-58.4082355,-34.6294125,"3",SAN CRISTOBAL,"4",V,,,,,,,,,,
ZAVALETA,"151",151 ZAVALETA,-58.4034523,-34.6385868,"4",PARQUE PATRICIOS,"188",I,,,,,,,,,,
ZAVALETA,"159",159 ZAVALETA,-58.4034258,-34.6387048,"4",PARQUE PATRICIOS,"91",I,"150",I,,,,,,,,
ZAVALETA,"389",389 ZAVALETA,-58.4028156,-34.6414185,"4",PARQUE PATRICIOS,"188",I,,,,,,,,,,
ZAVALETA,"393",393 ZAVALETA,-58.4028084,-34.6414506,"4",PARQUE PATRICIOS,"91",I,"150",I,,,,,,,,
ZAVALETA,"491",491 ZAVALETA,-58.402464,-34.642973,"4",PARQUE PATRICIOS,"118",I,"188",I,,,,,,,,
ZAVALETA,"651",651 ZAVALETA,-58.4020799,-34.6446836,"4",PARQUE PATRICIOS,"188",I,"118",I,,,,,,,,
MONTEAGUDO,"808",808 MONTEAGUDO,-58.4037148,-34.6465677,"4",PARQUE PATRICIOS,"188",V,,,,,,,,,,
IGUAZU,"516",516 IGUAZU,-58.4056843,-34.6438407,"4",PARQUE PATRICIOS,"91",V,"150",V,,,,,,,,
GRITO DE ASENCIO,"3410",3410 GRITO DE ASENCIO,-58.4095317,-34.647412,"4",PARQUE PATRICIOS,"91",V,"150",V,,,,,,,,
ENTRE RIOS AV.,"2178",2178 ENTRE RIOS AV.,-58.3902963,-34.6337489,"1",CONSTITUCION,"37",V,"150",V,,,,,,,,
GRAL. PAZ AV.,"1018","1018 PAZ, GRAL. AV.",-58.4744859,-34.538984,"13",NUÑE,"60",I,,,,,,,,,,
FAMATINA,"3595",3595 FAMATINA,-58.4123622,-34.6466161,"4",PARQUE PATRICIOS,"91",I,"150",I,,,,,,,,
ENTRE RIOS AV.,"2168",2168 ENTRE RIOS AV.,-58.3903148,-34.6335941,"1",CONSTITUCION,"50",V,"133",V,,,,,,,,
ENTRE RIOS AV.,"2000",2000 ENTRE RIOS AV.,-58.3905261,-34.6318022,"1",CONSTITUCION,"50",V,"150",V,,,,,,,,
PEPIRI,"689",689 PEPIRI,-58.4096076,-34.6458587,"4",PARQUE PATRICIOS,"150",I,,,,,,,,,,
GRAL. PAZ AV.,"686","686 PAZ, GRAL. AV.",-58.4707895,-34.5373465,"13",NUÑE,"60",I,,,,,,,,,,
FAMATINA,"3369",3369 FAMATINA,-58.4090316,-34.6460581,"4",PARQUE PATRICIOS,"91",I,"150",I,,,,,,,,
ENTRE RIOS AV.,"1830",1830 ENTRE RIOS AV.,-58.3907695,-34.6297733,"1",CONSTITUCION,"50",V,"133",V,,,,,,,,
ATUEL,"693",693 ATUEL,-58.406832,-34.6456161,"4",PARQUE PATRICIOS,"91",I,"150",I,,,,,,,,
ATUEL,"497",497 ATUEL,-58.4072249,-34.6436322,"4",PARQUE PATRICIOS,"91",I,"150",I,,,,,,,,
ENTRE RIOS AV.,"1664",1664 ENTRE RIOS AV.,-58.390985,-34.6279489,"1",CONSTITUCION,"6",,"37",V,"50",V,,,,,,
ENTRE RIOS AV.,"1628",1628 ENTRE RIOS AV.,-58.3910194,-34.6276485,"1",CONSTITUCION,"4",I,"12",V,"133",V,,,,,,
DEL LIBERTADOR AV.,"8651",8651 DEL LIBERTADOR AV.,-58.46633,-34.53648,"13",NUÑE,"15",I,"28",V,"29",I,"117",I,,,,
DR. PROF. PEDRO CHUTRO,"3083","3083 CHUTRO, PEDRO, PROF., DR.",-58.4057742,-34.6421978,"4",PARQUE PATRICIOS,"91",I,"150",I,,,,,,,,
ENTRE RIOS AV.,"1428",1428 ENTRE RIOS AV.,-58.3912089,-34.6254697,"1",CONSTITUCION,"6",,"50",V,"129",,,,,,,
ENTRE RIOS AV.,"1410",1410 ENTRE RIOS AV.,-58.3912152,-34.6253891,"1",CONSTITUCION,"150",V,,,,,,,,,,
PEPIRI,"441",441 PEPIRI,-58.4094981,-34.6432478,"4",PARQUE PATRICIOS,"150",I,,,,,,,,,,
ENTRE RIOS AV.,"1334",1334 ENTRE RIOS AV.,-58.3912973,-34.624433,"1",CONSTITUCION,"37",V,"84",I,,,,,,,,
DEL LIBERTADOR AV.,"8550",8550 DEL LIBERTADOR AV.,-58.46627,-34.53704,"13",NUÑE,"15",V,"29",V,,,,,,,,
ENTRE RIOS AV.,"1260",1260 ENTRE RIOS AV.,-58.391347,-34.6236757,"1",CONSTITUCION,"6",V,,,,,,,,,,
