CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen
CONGRESO AV.,"4591",4591 CONGRESO AV.,-58.4846178,-34.5667438,"12",VILLA URQUIZA,"71",v,"169",I,,,,,,,,
JURAMENTO AV.,"1941",1941 JURAMENTO AV.,-58.4524464,-34.5594847,"13",BELGRANO,"63",I,"65",V,,,,,,,,
JURAMENTO AV.,"2006",2006 JURAMENTO AV.,-58.4530292,-34.5600058,"13",BELGRANO,"29",V,"114",,,,,,,,,
JURAMENTO AV.,"2028",2028 JURAMENTO AV.,-58.4532694,-34.5601488,"13",BELGRANO,"60",V,"63",V,,,,,,,,
JURAMENTO AV.,"2202",2202 JURAMENTO AV.,-58.4551453,-34.5612706,"13",BELGRANO,"65",I,"80",V,,,,,,,,
OLIDEN,"4397",4397 OLIDEN,-58.4727155,-34.677724,"8",VILLA LUGANO,"47",I,,,,,,,,,,
JURAMENTO AV.,"2250",2250 JURAMENTO AV.,-58.4553249,-34.5613775,"13",BELGRANO,"29",V,"63",V,"113",V,,,,,,
LUGONES,"2802",2802 LUGONES,-58.482646,-34.5676373,"12",VILLA URQUIZA,"93",I,,,,,,,,,,
JURAMENTO AV.,"2290",2290 JURAMENTO AV.,-58.4554746,-34.5614666,"13",BELGRANO,"60",V,,,,,,,,,,
OLIDEN,"4595",4595 OLIDEN,-58.4706507,-34.6793362,"8",VILLA LUGANO,"47",I,,,,,,,,,,
OLIDEN,"4791",4791 OLIDEN,-58.4684146,-34.6811013,"8",VILLA LUGANO,"47",I,,,,,,,,,,
OLIDEN,"4710",4710 OLIDEN,-58.4689426,-34.6805781,"8",VILLA LUGANO,"47",V,,,,,,,,,,
OLIDEN,"4510",4510 OLIDEN,-58.4712183,-34.6787848,"8",VILLA LUGANO,"47",V,,,,,,,,,,
MANUEL UGARTE,"3802","3802 UGARTE, MANUEL",-58.4759733,-34.5638445,"12",COGHLAN,"107",I,,,,,,,,,,
MANUEL UGARTE,"3602","3602 UGARTE, MANUEL",-58.474081,-34.562699,"12",COGHLAN,"107",I,,,,,,,,,,
ROQUE PEREZ,"2538","2538 PEREZ, ROQUE",-58.471079,-34.564221,"12",COGHLAN,"76",V,"107",I,,,,,,,,
SUPERI,"2695",2695 SUPERI,-58.4710409,-34.5626026,"12",COGHLAN,"19",I,,,,,,,,,,
SUPERI,"2895",2895 SUPERI,-58.4724643,-34.5609662,"12",COGHLAN,"19",I,,,,,,,,,,
QUESADA,"3358",3358 QUESADA,-58.4731587,-34.559632,"12",COGHLAN,"19",I,,,,,,,,,,
OLIDEN,"4210",4210 OLIDEN,-58.4741277,-34.6765293,"8",VILLA LUGANO,"47",V,,,,,,,,,,
DR. RICARDO BALBIN AV.,"3081","3081 BALBIN, RICARDO, DR. AV.",-58.4738686,-34.5590029,"12",COGHLAN,"67",I,,,,,,,,,,
DR. RICARDO BALBIN AV.,"3308","3308 BALBIN, RICARDO, DR. AV.",-58.4776081,-34.55761,"12",COGHLAN,"67",V,"76",V,,,,,,,,
CONDE,"2508",2508 CONDE,-58.4688107,-34.5635238,"12",COGHLAN,"19",V,,,,,,,,,,
CONDE,"2702",2702 CONDE,-58.4703215,-34.5617859,"12",COGHLAN,"19",V,,,,,,,,,,
DR. RICARDO BALBIN AV.,"2889","2889 BALBIN, RICARDO, DR. AV.",-58.4711115,-34.5601318,"12",COGHLAN,"67",I,,,,,,,,,,
DR. RICARDO BALBIN AV.,"2712","2712 BALBIN, RICARDO, DR. AV.",-58.4693917,-34.5610675,"12",COGHLAN,"67",V,,,,,,,,,,
DR. RICARDO BALBIN AV.,"2524","2524 BALBIN, RICARDO, DR. AV.",-58.4670225,-34.5620654,"12",COGHLAN,"67",V,,,,,,,,,,
VARELA AV.,"2668",2668 VARELA AV.,-58.4397372,-34.6542787,"7",FLORES,"23",I,"46",I,"76",I,,,,,,
VARELA AV.,"1834",1834 VARELA AV.,-58.4488052,-34.6474837,"7",FLORES,"76",I,,,,,,,,,,
VARELA AV.,"1628",1628 VARELA AV.,-58.4506313,-34.6459926,"7",FLORES,"132",I,,,,,,,,,,
VARELA AV.,"1610",1610 VARELA AV.,-58.4509384,-34.6457456,"7",FLORES,"76",I,,,,,,,,,,
VARELA AV.,"1360",1360 VARELA AVE,-58.4534779,-34.6441224,"7",FLORES,"101",V,,,,,,,,,,
VARELA AV.,"1320",1320 VARELA AVE,-58.4535976,-34.6440119,"7",FLORES,"7",I,"50",I,,,,,,,,
VARELA AV.,"1310",1310 VARELA AV.,-58.4537112,-34.6439073,"7",FLORES,"132",I,,,,,,,,,,
VARELA AV.,"1210",1210 VARELA AV.,-58.4550524,-34.642671,"7",FLORES,"7",I,"50",I,,,,,,,,
VARELA AV.,"1110",1110 VARELA AV.,-58.4565669,-34.6412685,"7",FLORES,"132",I,,,,,,,,,,
VARELA AV.,"1295",1295 VARELA AV.,-58.4545715,-34.6433008,"7",FLORES,"7",V,"101",I,,,,,,,,
VARELA AV.,"1289",1289 VARELA AV.,-58.4546085,-34.6432666,"7",FLORES,"50",V,"132",V,,,,,,,,
VARELA AV.,"1516",1516 VARELA AV.,-58.4522329,-34.6452981,"7",FLORES,"7",I,"132",I,,,,,,,,
VARELA AV.,"1787",1787 VARELA AV.,-58.4493464,-34.6471461,"7",FLORES,"76",V,,,,,,,,,,
VARELA AV.,"2779",2779 VARELA AV.,-58.4387118,-34.6554694,"8",VILLA SOLDATI,"23",V,"76",V,,,,,,,,
GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"2613","2613 FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.4385088,-34.6561804,"8",VILLA SOLDATI,"76",,"150",,"101",,"23",I,"143",V,,
GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"2587","2587 FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.438053,-34.6551306,"7",FLORES,"150",I,"143",I,"101",V,,,,,,
