Season,Competition,Matchday,Date,Venue,Club,Opponent,Playing_Position,Minute,Type,Goal_assist,MT_Result,Opponent_result,MT_At_Score,Opponent_At_Score
18/19,UEFA Champions League,Group Stage,10/03/18,A,FC Barcelona,TottenhAMHotspur,RW,56,Left-footed shot,Jordi Alba,4,2,3,1
18/19,UEFA Champions League,Group Stage,10/03/18,A,FC Barcelona,TottenhAMHotspur,RW,90,Left-footed shot,Jordi Alba,4,2,4,2
18/19,LaLiga,8,10/07/18,A,FC Barcelona,Valencia CF,RW,23,Left-footed shot,Luis Suarez,1,1,1,1
18/19,LaLiga,9,10/20/18,H,FC Barcelona,Sevilla FC,RW,12,Left-footed shot,Luis Suarez,4,2,2,0
18/19,LaLiga,12,11/11/18,H,FC Barcelona,Real Betis Balompie,SS,68,Penalty,,3,4,1,2
18/19,LaLiga,12,11/11/18,H,FC Barcelona,Real Betis Balompie,SS,94,Left-footed shot,Arturo Vidal,3,4,3,4
18/19,UEFA Champions League,Group Stage,11/28/18,A,FC Barcelona,PSV Eindhoven,CF,61,Left-footed shot,Ousmane Dembele,2,1,1,0
18/19,LaLiga,15,12/08/18,A,FC Barcelona,RCD Espanyol Barcelona,RW,17,Direct free kick,,4,0,1,0
18/19,LaLiga,15,12/08/18,A,FC Barcelona,RCD Espanyol Barcelona,RW,65,Direct free kick,,4,0,4,0
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,SS,43,Right-footed shot,Sergio Busquets,5,0,2,0
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,SS,47,Left-footed shot,,5,0,3,0
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,SS,60,Left-footed shot,Arturo Vidal,5,0,4,0
18/19,LaLiga,17,12/22/18,H,FC Barcelona,Celta de Vigo,RW,45,Left-footed shot,Jordi Alba,2,0,2,0
18/19,LaLiga,18,01/06/19,A,FC Barcelona,Getafe CF,RW,20,Left-footed shot,,2,1,1,0
18/19,LaLiga,19,01/13/19,H,FC Barcelona,SD Eibar,RW,53,Left-footed shot,Luis Suarez,3,0,2,0
18/19,Copa del Rey,last 16,01/17/19,H,FC Barcelona,Levante UD,CF,54,Left-footed shot,Nelson Semedo,3,0,3,0
18/19,LaLiga,20,01/20/19,H,FC Barcelona,CD Leganes,SS,92,Right-footed shot,Jordi Alba,3,1,3,1
18/19,LaLiga,21,01/27/19,A,FC Barcelona,Girona FC,RW,69,Left-footed shot,Jordi Alba,2,0,2,0
18/19,Copa del Rey,Quarter-Finals,01/30/19,H,FC Barcelona,Sevilla FC,RW,92,Left-footed shot,Jordi Alba,6,1,6,1
18/19,LaLiga,22,02/02/19,H,FC Barcelona,Valencia CF,RW,39,Penalty,,2,2,1,2
18/19,LaLiga,22,02/02/19,H,FC Barcelona,Valencia CF,RW,64,Left-footed shot,Arturo Vidal,2,2,2,2
18/19,LaLiga,24,02/16/19,H,FC Barcelona,Real Valladolid CF,RW,43,Penalty,,1,0,1,0
18/19,LaLiga,25,02/23/19,A,FC Barcelona,Sevilla FC,RW,26,Left-footed shot,Ivan Rakitic,4,2,1,1
18/19,LaLiga,25,02/23/19,A,FC Barcelona,Sevilla FC,RW,67,Right-footed shot,Ousmane Dembele,4,2,2,2
18/19,LaLiga,25,02/23/19,A,FC Barcelona,Sevilla FC,RW,85,Left-footed shot,,4,2,3,2
18/19,LaLiga,27,03/09/19,H,FC Barcelona,Rayo Vallecano,RW,51,Penalty,,3,1,2,1
18/19,UEFA Champions League,last 16,03/13/19,H,FC Barcelona,Olympique Lyon,RW,18,Penalty,,5,1,1,0
18/19,UEFA Champions League,last 16,03/13/19,H,FC Barcelona,Olympique Lyon,RW,78,Right-footed shot,Sergio Busquets,5,1,3,1
18/19,LaLiga,28,03/17/19,A,FC Barcelona,Real Betis Balompie,SS,18,Direct free kick,,4,1,1,0
18/19,LaLiga,28,03/17/19,A,FC Barcelona,Real Betis Balompie,SS,47,Left-footed shot,Luis Suarez,4,1,2,0
18/19,LaLiga,28,03/17/19,A,FC Barcelona,Real Betis Balompie,SS,85,Left-footed shot,Ivan Rakitic,4,1,4,1
18/19,LaLiga,29,03/30/19,H,FC Barcelona,RCD Espanyol Barcelona,RW,71,Direct free kick,,2,0,1,0
18/19,LaLiga,29,03/30/19,H,FC Barcelona,RCD Espanyol Barcelona,RW,89,Left-footed shot,Malcom,2,0,2,0
18/19,LaLiga,30,04/02/19,A,FC Barcelona,Villarreal CF,RW,90,Direct free kick,,4,4,3,4
18/19,LaLiga,31,04/06/19,H,FC Barcelona,Atlético de Madrid,SS,87,Left-footed shot,,2,0,2,0
18/19,UEFA Champions League,Quarter-Finals,04/16/19,H,FC Barcelona,Manchester United,RW,16,Left-footed shot,,3,0,1,0
18/19,UEFA Champions League,Quarter-Finals,04/16/19,H,FC Barcelona,Manchester United,RW,20,Right-footed shot,,3,0,2,0
18/19,LaLiga,35,04/27/19,H,FC Barcelona,Levante UD,RW,62,Left-footed shot,Arturo Vidal,1,0,1,0
18/19,UEFA Champions League,Semi-Finals,05/01/19,H,FC Barcelona,Liverpool FC,RW,75,Left-footed shot,Luis Suarez,3,0,2,0
18/19,UEFA Champions League,Semi-Finals,05/01/19,H,FC Barcelona,Liverpool FC,RW,82,Direct free kick,,3,0,3,0
18/19,LaLiga,38,05/19/19,A,FC Barcelona,SD Eibar,CF,31,Left-footed shot,Arturo Vidal,2,2,1,1
18/19,LaLiga,38,05/19/19,A,FC Barcelona,SD Eibar,CF,32,Left-footed shot,Ivan Rakitic,2,2,2,1
18/19,Copa del Rey,Final,05/25/19,H,FC Barcelona,Valencia CF,CF,73,Left-footed shot,Clement Lenglet,1,2,1,2
19/20,LaLiga,8,10/06/19,H,FC Barcelona,Sevilla FC,RW,78,Direct free kick,,4,0,4,0
19/20,LaLiga,9,10/19/19,A,FC Barcelona,SD Eibar,RW,58,Left-footed shot,Antoine Griezmann,3,0,2,0
19/20,UEFA Champions League,Group Stage,10/23/19,A,FC Barcelona,SK Slavia Prague,RW,3,Left-footed shot,Arthur,2,1,1,0
19/20,LaLiga,11,10/29/19,H,FC Barcelona,Real Valladolid CF,RW,34,Direct free kick,,5,1,3,1
19/20,LaLiga,11,10/29/19,H,FC Barcelona,Real Valladolid CF,RW,75,Left-footed shot,Ivan Rakitic,5,1,4,1
19/20,LaLiga,12,11/02/19,A,FC Barcelona,Levante UD,RW,38,Penalty,,1,3,1,0
19/20,LaLiga,13,11/09/19,H,FC Barcelona,Celta de Vigo,RW,23,Penalty,,4,1,1,0
19/20,LaLiga,13,11/09/19,H,FC Barcelona,Celta de Vigo,RW,46,Direct free kick,,4,1,2,1
19/20,LaLiga,13,11/09/19,H,FC Barcelona,Celta de Vigo,RW,48,Direct free kick,,4,1,3,1
19/20,UEFA Champions League,Group Stage,11/27/19,H,FC Barcelona,Borussia Dortmund,RW,33,Left-footed shot,Luis Suarez,3,1,2,0
19/20,LaLiga,15,12/01/19,A,FC Barcelona,Atlético de Madrid,RW,86,Left-footed shot,Luis Suarez,1,0,1,0
19/20,LaLiga,16,12/07/19,H,FC Barcelona,RCD Mallorca,RW,17,Left-footed shot,Antoine Griezmann,5,2,2,0
19/20,LaLiga,16,12/07/19,H,FC Barcelona,RCD Mallorca,RW,41,Left-footed shot,Ivan Rakitic,5,2,3,1
19/20,LaLiga,16,12/07/19,H,FC Barcelona,RCD Mallorca,RW,83,Left-footed shot,Luis Suarez,5,2,5,2
19/20,LaLiga,18,12/21/19,H,FC Barcelona,Deportivo Alaves,RW,69,Left-footed shot,Luis Suarez,4,1,3,1
19/20,Supercopa,Semi-Finals,01/09/20,H,FC Barcelona,Atlético de Madrid,RW,51,Right-footed shot,Luis Suarez,2,3,1,1
19/20,LaLiga,20,01/19/20,H,FC Barcelona,Granada CF,CF,76,Right-footed shot,Arturo Vidal,1,0,1,0
19/20,Copa del Rey,Round of 16,01/30/20,H,FC Barcelona,CD Leganes,RW,59,Left-footed shot,Frenkie de Jong,5,0,3,0
19/20,Copa del Rey,Round of 16,01/30/20,H,FC Barcelona,CD Leganes,RW,89,Left-footed shot,Ivan Rakitic,5,0,5,0
19/20,LaLiga,25,02/22/20,H,FC Barcelona,SD Eibar,SS,14,Left-footed shot,Ivan Rakitic,5,0,1,0
19/20,LaLiga,25,02/22/20,H,FC Barcelona,SD Eibar,SS,37,Left-footed shot,Arturo Vidal,5,0,2,0
19/20,LaLiga,25,02/22/20,H,FC Barcelona,SD Eibar,SS,40,Left-footed shot,,5,0,3,0
19/20,LaLiga,25,02/22/20,H,FC Barcelona,SD Eibar,SS,87,Left-footed shot,,5,0,4,0
19/20,LaLiga,27,03/07/20,H,FC Barcelona,Real Sociedad,CF,81,Penalty,,1,0,1,0
19/20,LaLiga,28,06/13/20,A,FC Barcelona,RCD Mallorca,RW,93,Right-footed shot,Luis Suarez,4,0,4,0
19/20,LaLiga,29,06/16/20,H,FC Barcelona,CD Leganes,RW,69,Penalty,,2,0,2,0
19/20,LaLiga,33,06/30/20,H,FC Barcelona,Atlético de Madrid,SS,50,Penalty,,2,2,2,1
19/20,LaLiga,37,07/16/20,H,FC Barcelona,CA Osasuna,RW,62,Direct free kick,,1,2,1,1
19/20,LaLiga,38,07/19/20,A,FC Barcelona,Deportivo Alaves,RW,34,Left-footed shot,Riqui Puig,5,0,2,0
19/20,LaLiga,38,07/19/20,A,FC Barcelona,Deportivo Alaves,RW,75,Left-footed shot,Jordi Alba,5,0,5,0
19/20,UEFA Champions League,last 16,08/08/20,H,FC Barcelona,SSC Napoli,SS,23,Left-footed shot,,3,1,2,0
20/21,LaLiga,3,09/27/20,H,FC Barcelona,Villarreal CF,CF,35,Penalty,,4,0,3,0
20/21,UEFA Champions League,Group Stage,10/20/20,H,FC Barcelona,Ferencvarosi TC,CF,27,Penalty,,5,1,1,0
20/21,UEFA Champions League,Group Stage,10/28/20,A,FC Barcelona,Juventus FC,CF,91,Penalty,,2,0,2,0
20/21,UEFA Champions League,Group Stage,11/04/20,H,FC Barcelona,Dynamo Kyiv,RW,5,Penalty,,2,1,1,0
20/21,LaLiga,9,11/07/20,H,FC Barcelona,Real Betis Balompie,CF,61,Penalty,,5,2,3,1
20/21,LaLiga,9,11/07/20,H,FC Barcelona,Real Betis Balompie,CF,82,Left-footed shot,Sergi Roberto,5,2,4,2
20/21,LaLiga,11,11/29/20,H,FC Barcelona,CA Osasuna,RW,73,Left-footed shot,Francisco TrincÃ£o,4,0,4,0
20/21,LaLiga,13,12/13/20,H,FC Barcelona,Levante UD,CF,76,Left-footed shot,Frenkie de Jong,1,0,1,0
20/21,LaLiga,14,12/19/20,H,FC Barcelona,Valencia CF,CF,49,Header,,2,2,1,1
20/21,LaLiga,15,12/22/20,A,FC Barcelona,Real Valladolid CF,AM,65,Left-footed shot,Pedri,3,0,3,0
20/21,LaLiga,2,01/06/21,A,FC Barcelona,Athletic Bilbao,CF,38,Left-footed shot,Pedri,3,2,2,1
20/21,LaLiga,2,01/06/21,A,FC Barcelona,Athletic Bilbao,CF,62,Left-footed shot,Antoine Griezmann,3,2,3,1
20/21,LaLiga,18,01/09/21,A,FC Barcelona,Granada CF,CF,35,Left-footed shot,Antoine Griezmann,4,0,2,0
20/21,LaLiga,18,01/09/21,A,FC Barcelona,Granada CF,CF,42,Direct free kick,,4,0,3,0
20/21,Copa del Rey,Round of 16,01/27/21,A,FC Barcelona,Rayo Vallecano,CF,69,Left-footed shot,Antoine Griezmann,2,1,1,1
20/21,LaLiga,21,01/31/21,H,FC Barcelona,Athletic Bilbao,CF,20,Direct free kick,,2,1,1,0
20/21,LaLiga,22,02/07/21,A,FC Barcelona,Real Betis Balompie,CF,59,Left-footed shot,Ousmane Dembele,3,2,1,1
20/21,LaLiga,23,02/13/21,H,FC Barcelona,Deportivo Alaves,CF,46,Left-footed shot,Sergio Busquets,5,1,2,0
20/21,LaLiga,23,02/13/21,H,FC Barcelona,Deportivo Alaves,CF,75,Left-footed shot,Antoine Griezmann,5,1,4,1
20/21,UEFA Champions League,last 16,02/16/21,H,FC Barcelona,Paris Saint-Germain,CF,27,Penalty,,1,4,1,0
20/21,LaLiga,24,02/21/21,H,FC Barcelona,Cadiz CF,CF,32,Penalty,,1,1,1,0
20/21,LaLiga,1,02/24/21,H,FC Barcelona,Elche CF,CF,48,Left-footed shot,Martin Braithwaite,3,0,1,0
20/21,LaLiga,1,02/24/21,H,FC Barcelona,Elche CF,CF,68,Left-footed shot,Frenkie de Jong,3,0,2,0
20/21,LaLiga,25,02/27/21,A,FC Barcelona,Sevilla FC,CF,85,Right-footed shot,Ilaix Moriba,2,0,2,0
20/21,UEFA Champions League,last 16,03/10/21,A,FC Barcelona,Paris Saint-Germain,SS,37,Long distance kick,Pedri,1,1,1,1
20/21,LaLiga,27,03/15/21,H,FC Barcelona,SD Huesca,SS,13,Left-footed shot,Sergio Busquets,4,1,1,0
20/21,LaLiga,27,03/15/21,H,FC Barcelona,SD Huesca,SS,90,Left-footed shot,Francisco TrincÃ£o,4,1,4,1
20/21,LaLiga,28,03/21/21,A,FC Barcelona,Real Sociedad,SS,56,Left-footed shot,Sergio Busquets,6,1,4,0
20/21,LaLiga,28,03/21/21,A,FC Barcelona,Real Sociedad,SS,89,Left-footed shot,Jordi Alba,6,1,6,1
20/21,Copa del Rey,Final,04/17/21,A,FC Barcelona,Athletic Bilbao,CF,68,Left-footed shot,Frenkie de Jong,4,0,3,0
20/21,Copa del Rey,Final,04/17/21,A,FC Barcelona,Athletic Bilbao,CF,72,Left-footed shot,Jordi Alba,4,0,4,0
20/21,LaLiga,31,04/22/21,H,FC Barcelona,Getafe CF,CF,8,Left-footed shot,Sergio Busquets,5,2,1,0
20/21,LaLiga,31,04/22/21,H,FC Barcelona,Getafe CF,CF,33,Left-footed shot,,5,2,3,1
20/21,LaLiga,33,04/29/21,H,FC Barcelona,Granada CF,CF,23,Left-footed shot,Antoine Griezmann,1,2,1,0
20/21,LaLiga,34,05/02/21,A,FC Barcelona,Valencia CF,CF,57,Left-footed shot,,3,2,1,1
20/21,LaLiga,34,05/02/21,A,FC Barcelona,Valencia CF,CF,69,Direct free kick,,3,2,3,1
20/21,LaLiga,36,05/11/21,A,FC Barcelona,Levante UD,SS,25,Left-footed shot,,3,3,1,0
20/21,LaLiga,37,05/16/21,H,FC Barcelona,Celta de Vigo,SS,28,Header,Sergio Busquets,1,2,1,0
21/22,UEFA Champions League,Group Stage,09/28/21,H,Paris Saint-Germain,Manchester City,RW,74,Left-footed shot,Kylian Mbappé,2,0,2,0
21/22,UEFA Champions League,Group Stage,10/19/21,H,Paris Saint-Germain,RB Leipzig,RW,67,Left-footed shot,Kylian Mbappé,3,2,2,2
21/22,UEFA Champions League,Group Stage,10/19/21,H,Paris Saint-Germain,RB Leipzig,RW,74,Penalty,,3,2,3,2
21/22,Ligue 1,14,11/20/21,H,Paris Saint-Germain,FC Nantes,RW,87,Left-footed shot,Kylian Mbappé,3,1,3,1
21/22,UEFA Champions League,Group Stage,12/07/21,H,Paris Saint-Germain,Club Brugge KV,CF,38,Left-footed shot,Kylian Mbappé,4,1,3,0
21/22,UEFA Champions League,Group Stage,12/07/21,H,Paris Saint-Germain,Club Brugge KV,CF,76,Penalty,,4,1,4,1
21/22,Ligue 1,23,02/06/22,A,Paris Saint-Germain,LOSC Lille,CF,38,Left-footed shot,,5,1,3,1
21/22,Ligue 1,30,04/03/22,H,Paris Saint-Germain,FC Lorient,RW,73,Left-footed shot,Kylian Mbappé,5,1,4,1
21/22,Ligue 1,34,04/23/22,H,Paris Saint-Germain,RC Lens,RW,68,Left-footed shot,Neymar,1,1,1,0
21/22,Ligue 1,37,05/14/22,A,Paris Saint-Germain,Montpellier,CF,6,Left-footed shot,Kylian Mbappé,4,0,1,0
21/22,Ligue 1,37,05/14/22,A,Paris Saint-Germain,Montpellier,CF,20,Left-footed shot,Kylian Mbappé,4,0,2,0
21/22,Trophée des Champions,Final,07/31/22,H,Paris Saint-Germain,FC Nantes,CF,22,Right-footed shot,,4,0,1,0
21/22,Ligue 1,1,08/06/22,A,Paris Saint-Germain,Clermont Foot,CF,80,Left-footed shot,Neymar,5,0,4,0
21/22,Ligue 1,1,08/06/22,A,Paris Saint-Germain,Clermont Foot,CF,86,Left-footed shot,Leandro Paredes,5,0,5,0
22/23,Trophée des Champions,Final,07/31/22,H,Paris Saint-Germain,FC Nantes,CF,22,Right-footed shot,,4,0,1,0
22/23,Ligue 1,1,08/06/22,A,Paris Saint-Germain,Clermont Foot,CF,80,Left-footed shot,Neymar,5,0,4,0
22/23,Ligue 1,1,08/06/22,A,Paris Saint-Germain,Clermont Foot,CF,86,Left-footed shot,Leandro Paredes,5,0,5,0
22/23,Ligue 1,3,08/21/22,A,Paris Saint-Germain,LOSC Lille,AM,27,Right-footed shot,Nuno Mendes,7,1,2,0
22/23,UEFA Champions League,Group Stage,09/14/22,A,Paris Saint-Germain,Maccabi Haifa,SS,37,Left-footed shot,,3,1,1,1
22/23,Ligue 1,8,09/18/22,A,Paris Saint-Germain,Olympique Lyon,AM,5,Left-footed shot,Neymar,1,0,1,0
22/23,Ligue 1,9,10/01/22,H,Paris Saint-Germain,OGC Nice,AM,28,Direct free kick,,2,1,1,0
22/23,UEFA Champions League,Group Stage,10/05/22,A,Paris Saint-Germain,SL Benfica,AM,22,Left-footed shot,Neymar,1,1,1,0
22/23,Ligue 1,12,10/21/22,A,Paris Saint-Germain,AC Ajaccio,CF,78,Left-footed shot,Kylian Mbappé,3,0,2,0
22/23,UEFA Champions League,Group Stage,10/25/22,H,Paris Saint-Germain,Maccabi Haifa,SS,19,Left-footed shot,Kylian Mbappé,7,2,1,0
22/23,UEFA Champions League,Group Stage,10/25/22,H,Paris Saint-Germain,Maccabi Haifa,SS,44,Left-footed shot,Kylian Mbappé,7,2,4,1
22/23,Ligue 1,13,10/29/22,H,Paris Saint-Germain,ESTAC Troyes,RW,55,Left-footed shot,Sergio Ramos,4,3,2,2
22/23,Ligue 1,18,01/11/23,H,Paris Saint-Germain,Angers SCO,AM,72,Right-footed shot,Nordi Mukiele,2,0,2,0
22/23,Ligue 1,21,02/01/23,A,Paris Saint-Germain,Montpellier HSC,SS,72,Left-footed shot,Fabián Ruiz,3,1,2,0
22/23,Ligue 1,22,02/04/23,H,Paris Saint-Germain,FC Toulouse,SS,58,Left-footed shot,Achraf Hakimi,2,1,2,1
22/23,Ligue 1,24,02/19/23,H,Paris Saint-Germain,LOSC Lille,CF,95,Direct free kick,	,4,3,4,3
22/23,Ligue 1,25,02/26/23,A,Paris Saint-Germain,Olympique Marseille,CF,29,Right-footed shot,Kylian Mbappé,3,0,2,0
22/23,Ligue 1,26,03/04/23,H,Paris Saint-Germain,FC Nantes,CF,12,Left-footed shot,,4,2,1,0
22/23,Ligue 1,30,04/08/23,A,Paris Saint-Germain,OGC Nice,CF,26,Left-footed shot,Nuno Mendes,2,0,1,0
22/23,Ligue 1,31,04/15/23,H,Paris Saint-Germain,RC Lens,CF,40,Left-footed shot,Kylian Mbappé,3,1,3,0
22/23,Ligue 1,37,05/27/23,A,Paris Saint-Germain,R Strasbourg,CF,59,Left-footed shot,Kylian Mbappé,1,1,1,0
22/23,Leagues Cup,Group Stage,07/22/23,A,Inter Miami CF,CD Cruz Azul,RW,94,Direct free kick,,2,1,2,1
22/23,Leagues Cup,Group Stage,07/26/23,H,Inter Miami CF,Atlanta United FC,RW,8,Right-footed shot,Sergio Busquets,4,0,1,0
22/23,Leagues Cup,Group Stage,07/26/23,H,Inter Miami CF,Atlanta United FC,RW,22,Right-footed shot,Robert Taylor,4,0,2,0
22/23,Leagues Cup,Round of 32,08/02/23,H,Inter Miami CF,Orlando City SC,RW,7,Left-footed shot,Robert Taylor,3,1,1,0
22/23,Leagues Cup,Round of 32,08/02/23,H,Inter Miami CF,Orlando City SC,RW,72,Right-footed shot,Josef Martínez,3,1,3,1
22/23,Leagues Cup,Round of 16,08/06/23,A,Inter Miami CF,FC Dallas,RW,6,Left-footed shot,Jordi Alba,4,4,1,0
22/23,Leagues Cup,Round of 16,08/06/23,A,Inter Miami CF,FC Dallas,RW,85,Direct free kick,,4,4,4,4
22/23,Leagues Cup,Quarter-Finals,08/11/23,H,Inter Miami CF,Charlotte FC,RW,86,Left-footed shot,Leonardo Campana,4,0,4,0
22/23,Leagues Cup,Semi-Finals,08/15/23,A,Inter Miami CF,Philadelphia Union,RW,20,Left-footed shot,Josef Martínez,4,1,2,0
22/23,Leagues Cup,Final,08/19/23,A,Inter Miami CF,Nashville SC,RW,23,Left-footed shot,,1,1,1,0
22/23,MLS,28,08/27/23,A,Inter Miami CF,New York City FC,CF,89,Left-footed shot,Benja Cremaschi,2,0,2,0
