street,street number,complete address,long,lat,commune,neighborhood
REGIMIENTO DE PATRICIOS AV.,1168,1168 REGIMIENTO DE PATRICIOS AV.,-58.369078,-34.640742,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,1130,1130 REGIMIENTO DE PATRICIOS AV.,-58.369121,-34.6404457,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,1110,1110 REGIMIENTO DE PATRICIOS AV.,-58.3691473,-34.6402749,4,LA BOCA
CORDOBA AV.,1419,1419 CORDOBA AV.,-58.387335,-34.599232,2,RECOLETA
BRANDSEN,1195,1195 BRANDSEN,-58.3695499,-34.6373154,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,716,716 REGIMIENTO DE PATRICIOS AV.,-58.369694,-34.6367324,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,696,696 REGIMIENTO DE PATRICIOS AV.,-58.3697558,-34.6363464,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,660,660 REGIMIENTO DE PATRICIOS AV.,-58.3697868,-34.6361463,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,620,620 REGIMIENTO DE PATRICIOS AV.,-58.3698437,-34.6357791,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,362,362 REGIMIENTO DE PATRICIOS AV.,-58.3702192,-34.6332533,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,376,376 REGIMIENTO DE PATRICIOS AV.,-58.3702377,-34.6331008,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,322,322 REGIMIENTO DE PATRICIOS AV.,-58.3702563,-34.6329536,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,314,314 REGIMIENTO DE PATRICIOS AV.,-58.3702581,-34.6329363,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,72,72 REGIMIENTO DE PATRICIOS AV.,-58.3705018,-34.6303429,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,52,52 REGIMIENTO DE PATRICIOS AV.,-58.3705232,-34.6300972,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,38,38 REGIMIENTO DE PATRICIOS AV.,-58.3705361,-34.629949,4,LA BOCA
SANTIAGO DEL ESTERO,1997,1997 SANTIAGO DEL ESTERO,-58.3841698,-34.630814,1,CONSTITUCION
SANTIAGO DEL ESTERO,1897,1897 SANTIAGO DEL ESTERO,-58.3842547,-34.6297431,1,CONSTITUCION
SANTIAGO DEL ESTERO,1699,1699 SANTIAGO DEL ESTERO,-58.3843888,-34.6280066,1,CONSTITUCION
SANTIAGO DEL ESTERO,1591,1591 SANTIAGO DEL ESTERO,-58.3844005,-34.626803,1,CONSTITUCION
SANTIAGO DEL ESTERO,1185,1185 SANTIAGO DEL ESTERO,-58.3844242,-34.6219832,1,CONSTITUCION
SANTIAGO DEL ESTERO,1177,1177 SANTIAGO DEL ESTERO,-58.3844203,-34.6218892,1,CONSTITUCION
CORDOBA AV.,1249,1249 CORDOBA AV.,-58.3847317,-34.5991089,1,RETIRO
CORDOBA AV.,1239,1239 CORDOBA AV.,-58.3846233,-34.5991038,1,RETIRO
CORDOBA AV.,1171,1171 CORDOBA AV.,-58.3837359,-34.5990626,1,RETIRO
SANTIAGO DEL ESTERO,781,781 SANTIAGO DEL ESTERO,-58.3843688,-34.6176061,1,MONSERRAT
CORDOBA AV.,1147,1147 CORDOBA AV.,-58.3832169,-34.5990385,1,RETIRO
CABILDO AV.,5000,5000 CABILDO AV.,-58.4760074,-34.5391323,12,SAAVEDRA
CABILDO AV.,5070,5070 CABILDO AV.,-58.4760952,-34.5389417,12,SAAVEDRA
CORDOBA AV.,975,975 CORDOBA AV.,-58.3807914,-34.5989289,1,RETIRO
CABILDO AV.,5000,5000 CABILDO AVE,-58.4758293,-34.5390321,12,SAAVEDRA
CORDOBA AV.,953,953 CORDOBA AV.,-58.380554,-34.5989198,1,RETIRO
SANTIAGO DEL ESTERO,377,377 SANTIAGO DEL ESTERO,-58.3847184,-34.6130914,1,MONSERRAT
CORDOBA AV.,937,937 CORDOBA AV.,-58.3803951,-34.5989137,1,RETIRO
CORDOBA AV.,923,923 CORDOBA AV.,-58.3800055,-34.5988988,1,RETIRO
SANTIAGO DEL ESTERO,345,SANTIAGO DEL ESTERO 345,-58.3847569,-34.6126928,1,MONSERRAT
CABILDO AV.,4994,4994 CABILDO AV.,-58.4753583,-34.5397638,12,SAAVEDRA
CORDOBA AV.,883,883 CORDOBA AV.,-58.3795494,-34.5988796,1,RETIRO
CORDOBA AV.,827,827 CORDOBA AV.,-58.3787266,-34.5988444,1,RETIRO
SANTIAGO DEL ESTERO,177,177 SANTIAGO DEL ESTERO,-58.3848583,-34.6108276,1,MONSERRAT
CORDOBA AV.,729,729 CORDOBA AV.,-58.377383,-34.5987619,1,RETIRO
CORDOBA AV.,657,657 CORDOBA AV.,-58.3761272,-34.5986727,1,RETIRO
CORDOBA AV.,637,637 CORDOBA AV.,-58.3758765,-34.5986551,1,RETIRO
CABILDO AV.,4995,4995 CABILDO AV.,-58.4752184,-34.5396533,12,SAAVEDRA
CORDOBA AV.,545,545 CORDOBA AV.,-58.3749277,-34.5986154,1,RETIRO
CABILDO AV.,4995,4995 CABILDO AV.,-58.4753779,-34.5394398,12,SAAVEDRA
CORDOBA AV.,547,547 CORDOBA AV.,-58.3750693,-34.5986253,1,RETIRO
CABILDO AV.,4999,4999 CABILDO AVE,-58.4756879,-34.5389588,13,NUÑE
CORDOBA AV.,461,461 CORDOBA AVE,-58.3736505,-34.5985002,1,RETIRO
CABILDO AV.,5091,5000 CABILDO AVE,-58.47584,-34.5387075,13,NUÑE
CORDOBA AV.,461,461 CORDOBA AVE,-58.3735169,-34.5984901,1,RETIRO
CORDOBA AV.,433,433 CORDOBA AV.,-58.3733707,-34.5984753,1,RETIRO
CORDOBA AV.,421,421 CORDOBA AV.,-58.3730987,-34.5984547,1,RETIRO
SALTA,326,326 SALTA,-58.3832571,-34.6123174,1,MONSERRAT
CABILDO AV.,4760,4760 CABILDO AV.,-58.474261,-34.5410238,12,SAAVEDRA
CABILDO AV.,4660,4660 CABILDO AV.,-58.4736736,-34.5417732,12,SAAVEDRA
SALTA,544,544 SALTA,-58.3830397,-34.6148069,1,MONSERRAT
SALTA,728,728 SALTA,-58.3829976,-34.6170904,1,MONSERRAT
SALTA,930,930 SALTA,-58.382929,-34.6189322,1,CONSTITUCION
CABILDO AV.,4360,4360 CABILDO AV.,-58.4719393,-34.5441514,12,SAAVEDRA
VIAMONTE,610,610 VIAMONTE,-58.3755665,-34.5999174,1,SAN NICOLAS
VIAMONTE,410,410 VIAMONTE,-58.3730289,-34.5997515,1,SAN NICOLAS
VIAMONTE,910,910 VIAMONTE,-58.3798005,-34.6001768,1,SAN NICOLAS
VIAMONTE,920,920 VIAMONTE,-58.37993,-34.6001799,1,SAN NICOLAS
SALTA,1110,1110 SALTA,-58.382925,-34.6211559,1,CONSTITUCION
CABILDO AV.,4189,4189 CABILDO AV.,-58.4707748,-34.545462,13,NUÑE
SALTA,1340,1340 SALTA,-58.3828959,-34.6240683,1,CONSTITUCION
SALTA,1356,1356 SALTA,-58.3828906,-34.6242048,1,CONSTITUCION
SALTA,1392,1392 SALTA,-58.3828782,-34.6245289,1,CONSTITUCION
CABILDO AV.,3850,3850 CABILDO AV.,-58.4692464,-34.5478402,12,SAAVEDRA
SALTA,1636,1636 SALTA,-58.3827831,-34.6273959,1,CONSTITUCION
CABILDO AV.,3723,3723 CABILDO AV.,-58.4681995,-34.5487015,13,NUÑE
CABILDO AV.,3554,3554 CABILDO AV.,-58.4671615,-34.5504579,13,NUÑE
CABILDO AV.,3514,3514 CABILDO AV.,-58.46694,-34.55073,13,NUÑE
SALTA,2026,2032 SALTA,-58.382602,-34.631053,1,CONSTITUCION
CABILDO AV.,3470,3470 CABILDO AV.,-58.4666036,-34.55115,13,NUÑE
CABILDO AV.,3432,3432 CABILDO AV.,-58.4663039,-34.55153,13,NUÑE
CABILDO AV.,3070,3070 CABILDO AV.,-58.4643811,-34.55387,13,NUÑE
CABILDO AV.,3030,3030 CABILDO AV.,-58.463957,-34.55429,13,NUÑE
TUCUMAN,987,987 TUCUMAN,-58.3807415,-34.6012592,1,SAN NICOLAS
CABILDO AV.,2978,2978 CABILDO AV.,-58.4633255,-34.55493,13,NUÑE
TUCUMAN,929,929 TUCUMAN,-58.38003,-34.6012699,1,SAN NICOLAS
CABILDO AV.,2940,2940 CABILDO AV.,-58.4629759,-34.55527,13,NUÑE
CABILDO AV.,2995,2995 CABILDO AV.,-58.4631187,-34.55467,13,NUÑE
CORRIENTES AV.,410,410 CORRIENTES AVE,-58.372574,-34.6032384,1,SAN NICOLAS
CORRIENTES AV.,420,420 CORRIENTES AVE,-58.3727072,-34.6032465,1,SAN NICOLAS
CORRIENTES AV.,564,564 CORRIENTES AV.,-58.3745841,-34.6033592,1,SAN NICOLAS
CORRIENTES AV.,602,602 CORRIENTES AV.,-58.3754239,-34.60341,1,SAN NICOLAS
CORRIENTES AV.,640,640 CORRIENTES AV.,-58.3758205,-34.6034343,1,SAN NICOLAS
CORRIENTES AV.,654,654 CORRIENTES AV.,-58.3760364,-34.6034476,1,SAN NICOLAS
CORRIENTES AV.,834,834 CORRIENTES AV.,-58.3785963,-34.6036074,1,SAN NICOLAS
CORRIENTES AV.,924,924 CORRIENTES AVE,-58.3798148,-34.6036812,1,SAN NICOLAS
CORRIENTES AV.,930,930 CORRIENTES AVE,-58.3799014,-34.6036865,1,SAN NICOLAS
CORRIENTES AV.,938,938 CORRIENTES AV.,-58.3799915,-34.6036891,1,SAN NICOLAS
CORRIENTES AV.,1160,1160 CORRIENTES AV.,-58.3828745,-34.6038606,1,SAN NICOLAS
CORRIENTES AV.,1160,1160 CORRIENTES AV.,-58.3834113,-34.6038921,1,SAN NICOLAS
CORRIENTES AV.,1220,1220 CORRIENTES AV.,-58.3840166,-34.603928,1,SAN NICOLAS
CORRIENTES AV.,1250,1250 CORRIENTES AV.,-58.3843422,-34.6039471,1,SAN NICOLAS
CORRIENTES AV.,1302,1302 CORRIENTES AV.,-58.3852351,-34.6039983,1,SAN NICOLAS
CORRIENTES AV.,1430,1430 CORRIENTES AV.,-58.3870651,-34.6041156,1,SAN NICOLAS
CORRIENTES AV.,1444,1444 CORRIENTES AV.,-58.387185,-34.6041251,1,SAN NICOLAS
CORRIENTES AV.,1514,1514 CORRIENTES AV.,-58.3881532,-34.6042041,1,SAN NICOLAS
SARMIENTO,1767,1767 SARMIENTO,-58.3918803,-34.6055836,1,SAN NICOLAS
SARMIENTO,1481,1481 SARMIENTO,-58.3875462,-34.6053068,1,SAN NICOLAS
SARMIENTO,1183,1183 SARMIENTO,-58.3833973,-34.6050565,1,SAN NICOLAS
SARMIENTO,1169,1169 SARMIENTO,-58.3831425,-34.6050419,1,SAN NICOLAS
